id,item_group_id,sku,gtin,mpn,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,gender,age_group,color,size
69ad2c3b10ea481214327362,69ad2c3b10ea481214327362,BAF-CON-43-6BB9,GTIN-69ad2c3b10ea481214327362,MPN-69ad2c3b10ea481214327362,"Chuck Taylor | Black & White | Converse","100% authentic original product — not replica, fake or first copy.",out of stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=69ad2c3b10ea481214327362,https://kickskraze.b-cdn.net/kickskraze/9qr4zFPkak.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,43
69ad2bde10ea481214324827,69ad2bde10ea481214324827,BAF-CON-39-3D98,GTIN-69ad2bde10ea481214324827,MPN-69ad2bde10ea481214324827,"Chuck Taylor | Black & White | Converse","100% authentic original product — not replica, fake or first copy.",out of stock,used,3299.00 PKR,https://kicks-kraze.com/product?product_id=69ad2bde10ea481214324827,https://kickskraze.b-cdn.net/kickskraze/DprvuC5iLJ.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,39
69ad2b7b10ea481214321ce7,69ad2b7b10ea481214321ce7,BAF-CON-42.5-F7BE,GTIN-69ad2b7b10ea481214321ce7,MPN-69ad2b7b10ea481214321ce7,"Converse | Gray & White | All Star","100% authentic original product — not replica, fake or first copy.",out of stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=69ad2b7b10ea481214321ce7,https://kickskraze.b-cdn.net/kickskraze/-auo5QyE32.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,42.5
69ad2b1510ea48121431f1b4,69ad2b1510ea48121431f1b4,BAF-CON-41.5-CEF2,GTIN-69ad2b1510ea48121431f1b4,MPN-69ad2b1510ea48121431f1b4,"Converse | Slip Ons | Special Edition ","100% authentic original product — not replica, fake or first copy.",in stock,used,3099.00 PKR,https://kicks-kraze.com/product?product_id=69ad2b1510ea48121431f1b4,https://kickskraze.b-cdn.net/kickskraze/FmybsCTcCq.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,41.5
69ad2aab10ea48121431c686,69ad2aab10ea48121431c686,BAF-CON-42-BBA6,GTIN-69ad2aab10ea48121431c686,MPN-69ad2aab10ea48121431c686,"Chuck Taylor | Black & White | Converse","100% authentic original product — not replica, fake or first copy.",out of stock,new,3899.00 PKR,https://kicks-kraze.com/product?product_id=69ad2aab10ea48121431c686,https://kickskraze.b-cdn.net/kickskraze/4SRNjqWRsI.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,42
69ad2a2010ea481214319b59,69ad2a2010ea481214319b59,BAF-VAN-38-41BA,GTIN-69ad2a2010ea481214319b59,MPN-69ad2a2010ea481214319b59,"Vans | High Heels | Black & White | Old Skool","100% authentic original product — not replica, fake or first copy.",in stock,used,2799.00 PKR,https://kicks-kraze.com/product?product_id=69ad2a2010ea481214319b59,https://kickskraze.b-cdn.net/kickskraze/CHqxdTlLG1.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,38
69ad294a10ea481214317030,69ad294a10ea481214317030,BAF-VAN-40.5-2B46,GTIN-69ad294a10ea481214317030,MPN-69ad294a10ea481214317030,"Vans | Checkers | Blue, Black & White | Old Skool","100% authentic original product — not replica, fake or first copy.",in stock,used,2799.00 PKR,https://kicks-kraze.com/product?product_id=69ad294a10ea481214317030,https://kickskraze.b-cdn.net/kickskraze/wRUWHdHAGp.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,40.5
69ad28ec10ea48121431450a,69ad28ec10ea48121431450a,BAF-CON-38-56C2,GTIN-69ad28ec10ea48121431450a,MPN-69ad28ec10ea48121431450a,"Chuck Taylor | Black & White | Converse","100% authentic original product — not replica, fake or first copy.",out of stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=69ad28ec10ea48121431450a,https://kickskraze.b-cdn.net/kickskraze/858mvjo3LU.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,38
69ad289e10ea4812143119e8,69ad289e10ea4812143119e8,BAF-CON-39-B049,GTIN-69ad289e10ea4812143119e8,MPN-69ad289e10ea4812143119e8,"Chuck Taylor | Black & White | Converse","100% authentic original product — not replica, fake or first copy.",out of stock,used,2899.00 PKR,https://kicks-kraze.com/product?product_id=69ad289e10ea4812143119e8,https://kickskraze.b-cdn.net/kickskraze/t4WHnHZdYw.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,39
69ad284910ea48121430eeca,69ad284910ea48121430eeca,BAF-CON-38-B207,GTIN-69ad284910ea48121430eeca,MPN-69ad284910ea48121430eeca,"Converse | Black & White | All Star","100% authentic original product — not replica, fake or first copy.",in stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=69ad284910ea48121430eeca,https://kickskraze.b-cdn.net/kickskraze/-IaPXwZ7kE.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,38
