id,item_group_id,sku,gtin,mpn,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,gender,age_group,color,size
69339d804f8890643cbe3db5_undefined,69339d804f8890643cbe3db5,JEW-KIC-15-GOLD-22B7,GTIN-69339d804f8890643cbe3db5-undefined,MPN-69339d804f8890643cbe3db5-undefined,Long Ring 😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,999.00 PKR,https://kicks-kraze.com/product?product_id=69339d804f8890643cbe3db5,https://kickskraze.b-cdn.net/kickskraze/Zr0qIpDrEq.webp,Kickskraze,Apparel & Accessories > Jewelry > Rings,jewelry & watches > jewelry > rings,1,female,all ages,Gold,1
69339d804f8890643cbe3db5_undefined,69339d804f8890643cbe3db5,JEW-KIC-15-GOLD-BE62,GTIN-69339d804f8890643cbe3db5-undefined,MPN-69339d804f8890643cbe3db5-undefined,Long Ring 😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,999.00 PKR,https://kicks-kraze.com/product?product_id=69339d804f8890643cbe3db5,https://kickskraze.b-cdn.net/kickskraze/Zr0qIpDrEq.webp,Kickskraze,Apparel & Accessories > Jewelry > Rings,jewelry & watches > jewelry > rings,1,female,all ages,Gold,1
69339d804f8890643cbe3db5_undefined,69339d804f8890643cbe3db5,JEW-KIC-15-GOLD-9925,GTIN-69339d804f8890643cbe3db5-undefined,MPN-69339d804f8890643cbe3db5-undefined,Long Ring 😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,999.00 PKR,https://kicks-kraze.com/product?product_id=69339d804f8890643cbe3db5,https://kickskraze.b-cdn.net/kickskraze/Zr0qIpDrEq.webp,Kickskraze,Apparel & Accessories > Jewelry > Rings,jewelry & watches > jewelry > rings,1,female,all ages,Gold,1
69339d304f8890643cbe23e4,69339d304f8890643cbe23e4,JEW-KIC-GOLD-9DD2,GTIN-69339d304f8890643cbe23e4,MPN-69339d304f8890643cbe23e4,Cute Flower Pendant 😍💫,"100% authentic original product — not replica, fake or first copy.",in stock,new,1499.00 PKR,https://kicks-kraze.com/product?product_id=69339d304f8890643cbe23e4,https://kickskraze.b-cdn.net/kickskraze/jvbujjAU45.webp,Kickskraze,Apparel & Accessories > Jewelry > Charms & Pendants,jewelry & watches > jewelry > charms & pendants,1,female,all ages,Gold,
69339cc74f8890643cbe0a1d,69339cc74f8890643cbe0a1d,JEW-KIC-GOLD-2CC9,GTIN-69339cc74f8890643cbe0a1d,MPN-69339cc74f8890643cbe0a1d,Roman Bracelet 🌟✨💫😍,"100% authentic original product — not replica, fake or first copy.",in stock,new,1499.00 PKR,https://kicks-kraze.com/product?product_id=69339cc74f8890643cbe0a1d,https://kickskraze.b-cdn.net/kickskraze/Y4SmimvbB4.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,Gold,
69339c374f8890643cbdf06b,69339c374f8890643cbdf06b,JEW-KIC-BLACK-4092,GTIN-69339c374f8890643cbdf06b,MPN-69339c374f8890643cbdf06b,Beautiful Cuff Black ,"100% authentic original product — not replica, fake or first copy.",in stock,new,1499.00 PKR,https://kicks-kraze.com/product?product_id=69339c374f8890643cbdf06b,https://kickskraze.b-cdn.net/kickskraze/kY2WJC_zef.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,Black,
69339bd04f8890643cbdd6b8,69339bd04f8890643cbdd6b8,JEW-KIC-BLACK-F107,GTIN-69339bd04f8890643cbdd6b8,MPN-69339bd04f8890643cbdd6b8,Watch Bracelet (Cuff),"100% authentic original product — not replica, fake or first copy.",in stock,new,1699.00 PKR,https://kicks-kraze.com/product?product_id=69339bd04f8890643cbdd6b8,https://kickskraze.b-cdn.net/kickskraze/1sO1HEkGya.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,Black,
69339b104f8890643cbdbd01,69339b104f8890643cbdbd01,JEW-KIC-GOLD-D0E4,GTIN-69339b104f8890643cbdbd01,MPN-69339b104f8890643cbdbd01,Elegant Cuff ,"100% authentic original product — not replica, fake or first copy.",in stock,new,1599.00 PKR,https://kicks-kraze.com/product?product_id=69339b104f8890643cbdbd01,https://kickskraze.b-cdn.net/kickskraze/EmRhFcGg9j.webp,Kickskraze,Apparel & Accessories > Jewelry > Bracelets,jewelry & watches > jewelry > bracelets,1,female,all ages,Gold,
69339a9c4f8890643cbda34e,69339a9c4f8890643cbda34e,JEW-KIC-BLACK-97E4,GTIN-69339a9c4f8890643cbda34e,MPN-69339a9c4f8890643cbda34e,Heart Pendant ✨🖤,"100% authentic original product — not replica, fake or first copy.",in stock,new,1199.00 PKR,https://kicks-kraze.com/product?product_id=69339a9c4f8890643cbda34e,https://kickskraze.b-cdn.net/kickskraze/vUX7lp0joi.webp,Kickskraze,Apparel & Accessories > Jewelry > Charms & Pendants,jewelry & watches > jewelry > charms & pendants,1,female,all ages,Black,
693399c14f8890643cbd6fa2,693399c14f8890643cbd6fa2,JEW-KIC-BLACK-202E,GTIN-693399c14f8890643cbd6fa2,MPN-693399c14f8890643cbd6fa2,Pendant & Earrings Beautiful 😍 ,"100% authentic original product — not replica, fake or first copy.",in stock,new,1299.00 PKR,https://kicks-kraze.com/product?product_id=693399c14f8890643cbd6fa2,https://kickskraze.b-cdn.net/kickskraze/EJM9wRk34M.webp,Kickskraze,Apparel & Accessories > Jewelry,jewelry & watches > jewelry,1,female,all ages,Black,
