id,item_group_id,sku,gtin,mpn,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,gender,age_group,color,size
69b41a202980aa9dc677e9e4_undefined,69b41a202980aa9dc677e9e4,FWA-KIC-WHITE-C2AA,GTIN-69b41a202980aa9dc677e9e4-undefined,MPN-69b41a202980aa9dc677e9e4-undefined,Premium Cotton Shoe Laces ,"100% authentic original product — not replica, fake or first copy.",in stock,new,80.00 PKR,https://kicks-kraze.com/product?product_id=69b41a202980aa9dc677e9e4,https://kickskraze.b-cdn.net/kickskraze/CpA4Q15QK4.webp,Kickskraze,Apparel & Accessories > Shoe Accessories,clothing & accessories > shoes & footwear > shoe accessories > insoles,1,unisex,all ages,"White, Brown, Black",1
69b41a202980aa9dc677e9e4_undefined,69b41a202980aa9dc677e9e4,FWA-KIC-WHITE-C0A1,GTIN-69b41a202980aa9dc677e9e4-undefined,MPN-69b41a202980aa9dc677e9e4-undefined,Premium Cotton Shoe Laces ,"100% authentic original product — not replica, fake or first copy.",in stock,new,80.00 PKR,https://kicks-kraze.com/product?product_id=69b41a202980aa9dc677e9e4,https://kickskraze.b-cdn.net/kickskraze/CpA4Q15QK4.webp,Kickskraze,Apparel & Accessories > Shoe Accessories,clothing & accessories > shoes & footwear > shoe accessories > insoles,1,unisex,all ages,"White, Brown, Black",1
69b41a202980aa9dc677e9e4_undefined,69b41a202980aa9dc677e9e4,FWA-KIC-WHITE-5B79,GTIN-69b41a202980aa9dc677e9e4-undefined,MPN-69b41a202980aa9dc677e9e4-undefined,Premium Cotton Shoe Laces ,"100% authentic original product — not replica, fake or first copy.",in stock,new,80.00 PKR,https://kicks-kraze.com/product?product_id=69b41a202980aa9dc677e9e4,https://kickskraze.b-cdn.net/kickskraze/CpA4Q15QK4.webp,Kickskraze,Apparel & Accessories > Shoe Accessories,clothing & accessories > shoes & footwear > shoe accessories > insoles,1,unisex,all ages,"White, Brown, Black",1
